anio;mes;dia_mes;dia_semana;semana_anio;trimestre;es_fin_semana;es_feriado;temperatura_max;temperatura_min;temperatura_promedio;precipitacion;condicion_clima_Lluvioso;condicion_clima_Nublado;condicion_clima_Soleado;es_dia_lluvia;lluvia_categorica;total_pacientes;pacientes_rayos_x;pacientes_mamografia;pacientes_ecografia;pacientes_laboratorio;pacientes_densitometria
2021;1;8;4;1;1;0;0;31.5;22.2;26.2;2.0;0;1;0;0;0;434;1;1;4;165;2
2021;1;9;5;1;1;1;0;33.3;24.4;27.9;6.3;0;1;0;0;0;426;2;2;5;239;0
2021;1;10;6;1;1;1;0;33.3;23.7;28.3;1.0;0;1;0;0;0;91;0;0;0;61;0
2021;1;11;0;2;1;0;0;31.5;23.7;28.0;3.5;0;1;0;0;0;623;6;0;1;292;3
2021;1;12;1;2;1;0;0;33.7;24.4;28.7;3.0;0;1;0;0;0;540;3;1;5;275;2
2021;1;13;2;2;1;0;0;32.6;25.2;28.5;1.0;0;1;0;0;0;509;0;0;3;263;0
2021;1;14;3;2;1;0;0;31.9;24.8;27.7;3.8;0;1;0;0;0;446;3;1;2;191;0
2021;1;15;4;2;1;0;0;28.9;23.3;26.2;1.5;0;1;0;0;0;418;2;1;1;219;0
2021;1;16;5;2;1;1;0;33.3;24.1;28.2;6.3;0;1;0;0;0;355;9;2;2;163;0
2021;1;17;6;2;1;1;0;32.6;24.4;28.4;0.8;0;0;1;0;0;135;1;0;1;81;0
2021;1;18;0;3;1;0;0;33.7;24.1;28.9;2.8;0;1;0;0;0;618;8;2;1;291;3
2021;1;19;1;3;1;0;0;27.8;23.7;25.6;10.8;0;1;0;0;0;463;7;0;1;252;0
2021;1;20;2;3;1;0;0;27.0;23.0;24.8;0.8;0;1;0;0;0;507;3;3;0;239;0
2021;1;21;3;3;1;0;0;31.1;23.0;26.1;3.3;0;1;0;0;0;607;1;2;6;332;1
2021;1;22;4;3;1;0;0;33.3;24.4;28.0;7.5;0;1;0;0;0;590;2;1;5;323;0
2021;1;23;5;3;1;1;0;27.8;23.3;25.4;30.0;1;0;0;1;1;406;4;0;2;218;0
2021;1;24;6;3;1;1;0;27.8;22.6;24.9;7.0;0;1;0;0;0;107;0;0;1;64;0
2021;1;25;0;4;1;0;0;28.9;23.7;25.8;7.3;0;1;0;0;0;755;1;0;2;424;3
2021;1;26;1;4;1;0;0;32.2;23.7;26.7;6.3;0;1;0;0;0;557;3;0;0;276;1
2021;1;27;2;4;1;0;0;32.6;23.0;27.6;2.8;0;1;0;0;0;630;6;1;1;335;2
2021;1;28;3;4;1;0;0;33.0;25.2;28.5;2.5;0;1;0;0;0;535;2;1;3;273;1
2021;1;29;4;4;1;0;0;32.6;25.2;28.4;4.8;0;1;0;0;0;479;5;0;0;260;0
2021;1;30;5;4;1;1;0;27.4;22.6;25.1;8.8;0;1;0;0;0;383;4;0;2;199;1
2021;1;31;6;4;1;1;0;29.3;23.3;25.9;5.8;0;1;0;0;0;124;0;0;0;82;0
2021;2;1;0;5;1;0;0;33.3;23.3;27.9;0.0;0;1;0;0;0;707;4;1;3;358;2
2021;2;2;1;5;1;0;0;33.3;24.8;28.3;3.8;0;1;0;0;0;647;4;0;6;372;1
2021;2;3;2;5;1;0;0;33.0;22.6;27.8;5.3;0;1;0;0;0;608;3;2;2;330;0
2021;2;4;3;5;1;0;0;28.5;23.3;25.5;11.5;0;1;0;0;0;569;8;2;3;290;0
2021;2;5;4;5;1;0;0;31.9;23.7;26.4;26.3;1;0;0;1;1;505;4;1;0;244;1
2021;2;6;5;5;1;1;0;27.8;23.3;25.3;3.5;0;1;0;0;0;435;3;0;2;256;0
2021;2;7;6;5;1;1;0;32.6;23.7;28.0;0.8;0;1;0;0;0;125;0;0;0;80;0
2021;2;8;0;6;1;0;0;33.3;25.6;28.5;1.0;0;1;0;0;0;630;5;2;6;322;0
2021;2;9;1;6;1;0;0;29.6;24.4;26.5;1.5;0;1;0;0;0;545;5;0;1;294;1
2021;2;10;2;6;1;0;0;29.3;23.7;26.0;33.0;1;0;0;1;1;487;10;2;4;247;0
2021;2;11;3;6;1;0;0;26.7;23.0;24.3;65.8;1;0;0;1;2;380;4;1;1;214;2
2021;2;12;4;6;1;0;0;27.4;23.0;24.9;2.3;0;1;0;0;0;457;8;3;0;208;0
2021;2;13;5;6;1;1;0;32.2;22.2;27.1;0.3;0;1;0;0;0;325;5;0;1;141;1
2021;2;14;6;6;1;1;0;32.2;23.7;27.8;0.3;0;1;0;0;0;123;3;0;0;63;0
2021;2;15;0;7;1;0;0;30.0;24.1;26.7;6.3;0;1;0;0;0;672;10;2;0;334;1
2021;2;16;1;7;1;0;0;30.4;24.1;26.7;21.5;1;0;0;1;1;527;4;0;5;281;2
2021;2;17;2;7;1;0;0;32.2;24.4;27.1;3.5;0;1;0;0;0;543;2;0;1;273;0
2021;2;18;3;7;1;0;0;27.0;22.2;24.9;72.0;1;0;0;1;2;423;1;1;2;219;0
2021;2;19;4;7;1;0;0;31.9;22.2;26.7;1.8;0;1;0;0;0;565;3;0;0;268;0
2021;2;20;5;7;1;1;0;32.6;24.1;28.1;7.5;0;1;0;0;0;404;5;0;0;200;1
2021;2;21;6;7;1;1;0;30.4;23.7;26.3;4.0;0;1;0;0;0;131;1;0;0;56;0
2021;2;22;0;8;1;0;0;27.8;22.6;25.0;3.5;0;1;0;0;0;611;8;1;1;272;1
2021;2;23;1;8;1;0;0;32.6;23.3;27.3;7.0;0;1;0;0;0;553;6;2;1;275;0
2021;2;24;2;8;1;0;0;28.5;24.4;26.4;14.5;0;1;0;0;0;537;0;1;1;254;1
2021;2;25;3;8;1;0;0;28.5;24.4;26.1;3.3;0;1;0;0;0;564;6;1;3;272;0
2021;2;26;4;8;1;0;0;32.2;23.0;27.3;1.5;0;1;0;0;0;484;5;1;4;233;0
2021;2;27;5;8;1;1;0;30.4;23.7;26.0;20.0;1;0;0;1;1;408;4;0;2;228;0
2021;2;28;6;8;1;1;0;31.1;24.1;26.5;11.3;0;1;0;0;0;110;1;0;1;67;0
2021;3;1;0;9;1;0;0;30.4;24.8;26.5;14.8;0;1;0;0;0;706;3;0;0;352;4
2021;3;2;1;9;1;0;0;30.7;23.7;26.1;12.5;0;1;0;0;0;627;4;1;6;328;0
2021;3;3;2;9;1;0;0;32.2;23.3;26.7;3.3;0;1;0;0;0;571;2;2;6;320;0
2021;3;4;3;9;1;0;0;30.4;23.0;26.5;0.5;0;1;0;0;0;507;2;0;2;229;2
2021;3;5;4;9;1;0;0;32.2;23.7;27.6;5.3;0;1;0;0;0;508;5;1;2;247;1
2021;3;6;5;9;1;1;0;29.6;23.3;26.4;7.5;0;1;0;0;0;539;2;0;2;342;0
2021;3;7;6;9;1;1;0;29.3;23.7;26.2;15.5;0;1;0;0;0;157;0;0;0;106;0
2021;3;8;0;10;1;0;0;31.9;23.3;27.3;1.0;0;1;0;0;0;794;6;2;5;428;1
2021;3;9;1;10;1;0;0;31.1;22.6;27.0;32.3;1;0;0;1;1;662;5;0;0;395;1
2021;3;10;2;10;1;0;0;28.9;22.2;25.0;9.5;0;1;0;0;0;595;5;1;3;305;1
2021;3;11;3;10;1;0;0;31.9;23.7;27.4;5.3;0;0;1;0;0;609;5;0;4;345;1
2021;3;12;4;10;1;0;0;33.0;24.1;27.2;0.0;0;0;1;0;0;713;8;1;3;438;1
2021;3;13;5;10;1;1;0;27.0;23.3;25.2;20.8;1;0;0;1;1;402;2;1;2;245;0
2021;3;14;6;10;1;1;0;26.3;23.3;24.7;12.3;0;1;0;0;0;131;0;0;0;101;0
2021;3;15;0;11;1;0;0;31.9;23.3;26.7;3.5;0;1;0;0;0;799;3;0;2;442;0
2021;3;16;1;11;1;0;0;27.8;23.0;25.1;6.3;0;1;0;0;0;665;1;1;1;399;1
2021;3;17;2;11;1;0;0;32.2;22.6;27.0;2.8;0;1;0;0;0;533;2;0;2;284;1
2021;3;18;3;11;1;0;0;32.6;23.3;27.4;3.0;0;1;0;0;0;606;9;0;5;351;0
2021;3;19;4;11;1;0;0;28.5;23.0;25.6;7.5;0;1;0;0;0;517;4;0;0;284;0
2021;3;20;5;11;1;1;0;26.3;22.6;24.2;23.3;1;0;0;1;1;423;1;0;0;247;0
2021;3;21;6;11;1;1;0;24.4;22.2;23.1;24.0;1;0;0;1;1;95;1;0;0;48;0
2021;3;22;0;12;1;0;0;31.1;21.9;26.0;7.3;0;1;0;0;0;804;3;0;1;461;1
2021;3;23;1;12;1;0;0;29.3;23.7;25.8;16.8;0;1;0;0;0;644;5;0;5;352;0
2021;3;24;2;12;1;0;0;31.1;22.6;26.1;3.0;0;1;0;0;0;655;5;1;2;327;0
2021;3;25;3;12;1;0;0;27.4;23.3;25.2;16.0;0;1;0;0;0;698;1;0;0;399;0
2021;3;26;4;12;1;0;0;31.9;23.0;26.8;3.5;0;1;0;0;0;685;6;0;7;374;1
2021;3;27;5;12;1;1;0;32.6;23.0;27.2;0.0;0;1;0;0;0;502;4;0;4;268;0
2021;3;28;6;12;1;1;0;28.9;23.0;26.0;9.5;0;1;0;0;0;74;0;0;0;44;0
2021;3;29;0;13;1;0;0;26.7;23.0;24.7;48.5;1;0;0;1;1;624;7;1;3;344;1
2021;3;30;1;13;1;0;0;30.4;23.3;25.8;6.5;0;1;0;0;0;740;1;0;0;421;0
2021;3;31;2;13;1;0;0;28.1;23.3;25.5;6.3;0;1;0;0;0;758;4;1;1;453;0
2021;4;1;3;13;2;0;1;33.0;23.3;27.3;1.5;0;1;0;0;0;305;1;0;0;208;0
2021;4;2;4;13;2;0;1;30.7;23.7;27.0;2.5;0;1;0;0;0;354;4;0;0;258;0
2021;4;3;5;13;2;1;0;26.7;23.3;24.9;22.3;1;0;0;1;1;520;4;0;0;381;0
2021;4;4;6;13;2;1;1;30.4;23.0;25.9;2.0;0;1;0;0;0;136;1;0;0;104;0
2021;4;5;0;14;2;0;0;28.5;23.7;25.6;5.3;0;1;0;0;0;882;6;1;0;498;0
2021;4;6;1;14;2;0;0;28.9;23.7;25.9;12.3;0;1;0;0;0;625;3;0;2;361;0
2021;4;7;2;14;2;0;0;31.9;23.3;26.9;0.0;0;1;0;0;0;604;1;0;2;341;1
2021;4;8;3;14;2;0;0;31.5;23.7;27.2;0.5;0;1;0;0;0;592;3;0;3;356;0
2021;4;9;4;14;2;0;0;29.3;24.1;26.4;6.5;0;1;0;0;0;575;2;0;2;324;2
2021;4;10;5;14;2;1;0;27.0;23.3;24.7;60.5;1;0;0;1;2;345;4;1;4;193;0
2021;4;11;6;14;2;1;0;30.7;23.3;26.4;3.0;0;1;0;0;0;110;5;0;0;70;0
2021;4;12;0;15;2;0;0;27.8;23.3;25.5;5.0;0;1;0;0;0;557;5;0;4;315;0
2021;4;13;1;15;2;0;0;28.9;23.7;26.2;4.0;0;1;0;0;0;545;4;2;6;274;0
2021;4;14;2;15;2;0;0;32.2;23.0;26.8;0.0;0;1;0;0;0;554;1;0;6;276;0
2021;4;15;3;15;2;0;0;32.2;23.3;27.5;0.3;0;1;0;0;0;564;1;0;1;306;0
2021;4;16;4;15;2;0;0;30.7;23.7;26.9;0.5;0;1;0;0;0;583;7;0;0;360;0
2021;4;17;5;15;2;1;0;31.1;23.7;26.7;7.8;0;1;0;0;0;320;0;1;2;178;1
2021;4;18;6;15;2;1;0;31.5;22.6;26.5;0.0;0;1;0;0;0;55;0;0;0;43;0
2021;4;19;0;16;2;0;0;29.3;22.6;26.0;1.3;0;1;0;0;0;697;4;0;1;372;1
